Name,Num,Score
Breogán Cid Díaz,1,0.00038
ericbenhamou,2,0.00354
DSXL,3,0.06626
Dan Nilin,4,0.07743
Javale,5,0.08397
Mohammed Amro,6,0.10567
Deargen,7,0.10775
Paulo Pinto,8,0.1091
Aleksandrs Gehsbargs,9,0.10943
hanxiaoyang,10,0.10964
Adil Zouitine,11,0.10985
Aditya Sondhi,12,0.10985
Bibin Paul,13,0.10985
Brian Luo,14,0.10985
Ching Loong,15,0.10985
Diego Camargo,16,0.10985
fffaraz,17,0.10985
Guangyu Hu,18,0.10985
Huizi Ren,19,0.10985
iabhishekofficial,20,0.10985
Nithinthakur,21,0.10985
rosh,22,0.10985
Sergey Enikeev,23,0.10985
sgDysregulation,24,0.10985
Thanu123,25,0.10985
UNIANDES201717202,26,0.10985
Victor Zhao,27,0.10985
willchike,28,0.10985
Vinícius de Oliveira,29,0.11001
jcourses,30,0.11002
Mynasino,31,0.11111
tangKenny,32,0.11128
osuliangzhang2018,33,0.11132
ZavodRobotov,34,0.1114
d0cent,35,0.11166
ahmettezcantekin,36,0.11194
puneetks,37,0.11194
Sergey Proshuta,38,0.11194
megamind.siam,39,0.11203
Real estate Agents,40,0.11206
Jordan,41,0.11223
mteslive,42,0.11226
zuri,43,0.1123
da keng yi,44,0.11234
LU WEI,45,0.11248
PolyU G4,46,0.11255
polyU_CBS,47,0.11262
Pascal Hulot,48,0.11275
wei002,49,0.1128
hermancheng,50,0.11281
wec556,51,0.11283
Fernando Ortiz,52,0.11292
rbcrbc,53,0.11292
callme21800000,54,0.11297
Russ Boucher,55,0.113
ThiệnThắng,56,0.11305
JasonDong,57,0.11308
MartinJ,58,0.11309
gyr1107,59,0.11312
lning11111,60,0.11312
lw1250181518,61,0.11317
BolzanoWeierstrass,62,0.11319
aaaa,63,0.11321
taiyuanpanda,64,0.11321
zhi-z,65,0.11321
Yeonsu,66,0.11323
lsjiiia,67,0.11326
Arindam Baruah,68,0.11329
Lucas Rouhier,69,0.11333
MG1533014,70,0.11342
dong zhi,71,0.11344
icelord,72,0.11344
pandasunwukong,73,0.11344
NightWing,74,0.11345
Jiawei Zhang,75,0.11351
massquantity,76,0.11357
timdai23,77,0.11358
Doron Rippel,78,0.11359
Xihe Liu,79,0.11359
DeJoy Jnr,80,0.1136
dexter6855,81,0.11362
Noelthomas,82,0.11371
Rick Wang,83,0.11376
pengzx,84,0.11378
